Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
64.3,-25,0.268,-25.268
64.25,-25,0.266,-25.266
64.2,-25,0.264,-25.264
64.15,-25,0.262,-25.262
64.1,-25,0.26,-25.26
64.05,-25,0.257,-25.257
64,-25,0.255,-25.255
63.95,-25,0.253,-25.253
63.9,-25,0.251,-25.251
63.85,-25,0.249,-25.249
63.8,-25,0.247,-25.247
63.75,-25,0.245,-25.245
63.7,-25,0.243,-25.243
63.65,-25,0.241,-25.241
63.6,-25,0.239,-25.239
63.55,-25,0.237,-25.237
63.5,-25,0.235,-25.235
63.45,-25,0.233,-25.233
63.4,-25,0.231,-25.231
63.35,-25,0.229,-25.229
63.3,-25,0.228,-25.228
63.25,-25,0.226,-25.226
63.2,-25,0.224,-25.224
63.15,-25,0.222,-25.222
63.1,-25,0.22,-25.22
63.05,-25,0.218,-25.218
63,-25,0.216,-25.216
62.95,-25,0.214,-25.214
62.9,-25,0.213,-25.213
62.85,-25,0.211,-25.211
62.8,-25,0.209,-25.209
62.75,-25,0.207,-25.207
62.7,-25,0.205,-25.205
62.65,-25,0.203,-25.203
62.6,-25,0.202,-25.202
62.55,-25,0.2,-25.2
62.5,-25,0.198,-25.198
62.45,-25,0.196,-25.196
62.4,-25,0.195,-25.195
62.35,-25,0.193,-25.193
62.3,-25,0.191,-25.191
62.25,-25,0.189,-25.189
62.2,-25,0.188,-25.188
62.15,-25,0.186,-25.186
62.1,-25,0.184,-25.184
62.05,-25,0.183,-25.183
62,-25,0.181,-25.181
61.95,-25,0.179,-25.179
61.9,-25,0.178,-25.178
61.85,-25,0.176,-25.176
61.8,-25,0.174,-25.174
61.75,-25,0.173,-25.173
61.7,-25,0.171,-25.171
61.65,-25,0.169,-25.169
61.6,-25,0.168,-25.168
61.55,-25,0.166,-25.166
61.5,-25,0.165,-25.165
61.45,-25,0.163,-25.163
61.4,-25,0.161,-25.161
61.35,-25,0.16,-25.16
61.3,-25,0.158,-25.158
61.25,-25,0.157,-25.157
61.2,-25,0.155,-25.155
61.15,-25,0.154,-25.154
61.1,-25,0.152,-25.152
61.05,-25,0.151,-25.151
61,-25,0.149,-25.149
60.95,-25,0.148,-25.148
60.9,-25,0.146,-25.146
60.85,-25,0.145,-25.145
60.8,-25,0.143,-25.143
60.75,-25,0.142,-25.142
60.7,-25,0.14,-25.14
60.65,-25,0.139,-25.139
60.6,-25,0.137,-25.137
60.55,-25,0.136,-25.136
60.5,-25,0.135,-25.135
60.45,-25,0.133,-25.133
60.4,-25,0.132,-25.132
60.35,-25,0.13,-25.13
60.3,-25,0.129,-25.129
60.25,-25,0.128,-25.128
60.2,-25,0.126,-25.126
60.15,-25,0.125,-25.125
60.1,-25,0.124,-25.124
60.05,-25,0.122,-25.122
60,-25,0.121,-25.121
59.95,-25,0.12,-25.12
59.9,-25,0.118,-25.118
59.85,-25,0.117,-25.117
59.8,-25,0.116,-25.116
59.75,-25,0.114,-25.114
59.7,-25,0.113,-25.113
59.65,-25,0.112,-25.112
59.6,-25,0.111,-25.111
59.55,-25,0.109,-25.109
59.5,-25,0.108,-25.108
59.45,-25,0.107,-25.107
59.4,-25,0.106,-25.106
59.35,-25,0.104,-25.104
59.3,-25,0.103,-25.103
59.25,-25,0.102,-25.102
59.2,-25,0.101,-25.101
59.15,-25,0.1,-25.1
59.1,-25,0.098,-25.098
59.05,-25,0.097,-25.097
59,-25,0.096,-25.096
58.95,-25,0.095,-25.095
58.9,-25,0.094,-25.094
58.85,-25,0.093,-25.093
58.8,-25,0.092,-25.092
58.75,-25,0.09,-25.09
58.7,-25,0.089,-25.089
58.65,-25,0.088,-25.088
58.6,-25,0.087,-25.087
58.55,-25,0.086,-25.086
58.5,-25,0.085,-25.085
58.45,-25,0.084,-25.084
58.4,-25,0.083,-25.083
58.35,-25,0.082,-25.082
58.3,-25,0.081,-25.081
58.25,-25,0.08,-25.08
58.2,-25,0.079,-25.079
58.15,-25,0.078,-25.078
58.1,-25,0.077,-25.077
58.05,-25,0.076,-25.076
58,-25,0.075,-25.075
57.95,-25,0.074,-25.074
57.9,-25,0.073,-25.073
57.85,-25,0.072,-25.072
57.8,-25,0.071,-25.071
57.75,-25,0.07,-25.07
57.7,-25,0.069,-25.069
57.65,-25,0.068,-25.068
57.6,-25,0.067,-25.067
57.55,-25,0.066,-25.066
57.5,-25,0.065,-25.065
57.45,-25,0.064,-25.064
57.4,-25,0.063,-25.063
57.35,-25,0.062,-25.062
57.3,-25,0.062,-25.062
57.25,-25,0.061,-25.061
57.2,-25,0.06,-25.06
57.15,-25,0.059,-25.059
57.1,-25,0.058,-25.058
